iter	RMSE
0	23079.96883
1	23068.05713
2	23055.55644
3	23043.14426
4	23038.16716
5	23031.55781
6	23024.32806
7	23011.74238
8	23005.19872
9	22999.48935
10	22986.50768
11	22979.23351
12	22972.1737
13	22960.09628
14	22953.35868
15	22947.13627
16	22940.30434
17	22933.17211
18	22926.69226
19	22921.04151
20	22916.11537
21	22909.00976
22	22902.27719
23	22895.60688
24	22888.92091
25	22876.11583
26	22863.05442
27	22850.25537
28	22837.20019
29	22830.57209
30	22823.94737
31	22817.81642
32	22810.80823
33	22797.46338
34	22779.56063
35	22766.52771
36	22759.98326
37	22753.63619
38	22747.0236
39	22740.43428
40	22733.79273
41	22726.76515
42	22720.46877
43	22713.91376
44	22707.37893
45	22700.48187
46	22693.60708
47	22681.07422
48	22668.49281
49	22655.88016
50	22649.39412
51	22642.58454
52	22636.55005
53	22629.70679
54	22623.28153
55	22616.7832
56	22604.31964
57	22591.90543
58	22585.47845
59	22579.04126
