iter	Passed	Remaining
0	57	3391
1	90	2626
2	1039	19750
3	1047	14665
4	1051	11565
5	1274	11471
6	2221	16820
7	3244	21090
8	4289	24306
9	4310	21552
10	5473	24381
11	6442	25770
12	6484	23445
13	7456	24498
14	7522	22567
15	8500	23376
16	9414	23813
17	9485	22132
18	9498	20496
19	9505	19011
20	9965	18508
21	9973	17226
22	10845	17446
23	10916	16374
24	11934	16707
25	13115	17151
26	14099	17233
27	14318	16363
28	15290	16345
29	15295	15295
30	15306	14318
31	15309	13395
32	15361	12568
33	16343	12497
34	16893	12067
35	16936	11291
36	17904	11129
37	18955	10974
38	20093	10819
39	20610	10305
40	20615	9553
41	20862	8941
42	20868	8250
43	21379	7774
44	21384	7128
45	21520	6549
46	21529	5955
47	21548	5387
48	22521	5055
49	23463	4692
50	23488	4145
51	23493	3614
52	23516	3105
53	23546	2616
54	23766	2160
55	24670	1762
56	24694	1299
57	24822	855
58	24855	421
59	24858	0
