,msrp,year,canonical_mmty,model,local_zone,interior_color,aff_code,price,price_badge,trim,drivetrain,dealer_name,dealer_zip,mileage,make,bodystyle,cat,vin,canonical_mmt,fuel_type,stock_type,exterior_color,page_channel
0,53395,2024,Ford:Explorer:Timberline:2024,Explorer,,Ebony,national,51895,,Timberline,Four-wheel Drive,Langdale Ford,31601,8,Ford,SUV,suv_midsize,1FMSK8JH3RGA22631,Ford:Explorer:Timberline,Gasoline,New,Forged Green Metallic,shopping
1,27150,2024,Nissan:Sentra:SR:2024,Sentra,,Sport,national,27150,,SR,Front-wheel Drive,Coggin Nissan at the Avenues,32256,2,Nissan,Sedan,sedan_compact,3N1AB8DV4RY284547,Nissan:Sentra:SR,Gasoline,New,2t Gry Blk Roof,shopping
2,52370,2024,Ford:Transit-250:Base:2024,Transit-250,,Ebony,national,52370,,Base,Rear-wheel Drive,Hiller Ford,53132,24,Ford,Cargo Van,van_fullsize,1FTBR1Y87RKA31715,Ford:Transit-250:Base,Gasoline,New,Oxford White,shopping
3,31194,2024,Toyota:Corolla Cross:XLE:2024,Corolla Cross,,Macadamia,national,31194,,XLE,Front-wheel Drive,Johnson City Toyota,37601,0,Toyota,SUV,crossover_compact,7MUDAAAG1RV18A027,Toyota:Corolla Cross:XLE,Gasoline,New,Jet Black,shopping
4,56705,2023,Ford:Transit-250:Base:2023,Transit-250,,Dk Palazzo Gry,national,61900,,Base,All-wheel Drive,Sheehy Ford Lincoln of Gaithersburg,20879,0,Ford,Cargo Van,van_fullsize,1FTBR2X85PKB60511,Ford:Transit-250:Base,Gasoline,New,Oxford White,shopping
5,61615,2024,Jeep:Wrangler 4xe:Sport:2024,Wrangler 4xe,,Black,national,57947,,Sport,Four-wheel Drive,AutoNation Chrysler Jeep West,80401,8,Jeep,SUV,hybrid_suv,1C4RJXN68RW192322,Jeep:Wrangler 4xe:Sport,Hybrid,New,Sarge Green Clearcoat,shopping
6,83585,2024,GMC:Sierra 1500:AT4X:2024,Sierra 1500,,Obsidian Rush,national,83585,,AT4X,Four-wheel Drive,Country Chevrolet GMC,42025,9,GMC,Pickup Truck,truck_fullsize,3GTUUFEL8RG315195,GMC:Sierra 1500:AT4X,Gasoline,New,Gray,shopping
7,29279,2024,Toyota:Corolla Cross:LE:2024,Corolla Cross,,Light Gray,national,29279,,LE,All-wheel Drive,Johnson City Toyota,37601,0,Toyota,SUV,crossover_compact,7MUCAABG6RV17A460,Toyota:Corolla Cross:LE,Gasoline,New,Celestite,shopping
8,68760,2024,Jeep:Wrangler 4xe:Rubicon:2024,Wrangler 4xe,,Black,national,57989,,Rubicon,Four-wheel Drive,Bob Johnson of Avon,14414,14,Jeep,SUV,hybrid_suv,1C4RJXR63RW161974,Jeep:Wrangler 4xe:Rubicon,Hybrid,New,Anvil Clearcoat,shopping
9,76202,2024,Cadillac:LYRIQ:Luxury w/1SE:2024,LYRIQ,,Noir w/Santorini Blue Accents,national,76202,,Luxury w/1SE,Rear-wheel Drive,Motor Werks Cadillac,60010,8,Cadillac,SUV,ev_luxurysuv_suv,1GYKPSRL9RZ129080,Cadillac:LYRIQ:Luxury w/1SE,Electric,New,Argent Silver Metallic,shopping
10,32700,2024,Ford:Maverick:XLT:2024,Maverick,,Navy Pier,national,32700,,XLT,All-wheel Drive,Tamiami Ford Inc,34104,15,Ford,Pickup Truck,truck_compact,3FTTW8J93RRA58818,Ford:Maverick:XLT,Gasoline,New,Oxford White,shopping
